group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
bandwidth,,25,1000,1024,4096,true,2170,1623,3812,33561340,3296633,729517,21101,34298162,3317734,
download_size,,10,200,2048,1024,true,3950,1470,5429,46700824,3360897,1276573,22149,47982654,3383046,
download_size,,10,200,2048,1024,true,3929,1409,5348,46700920,3360897,1275712,22149,47982750,3383046,
download_size,,10,200,2048,1024,true,3884,1519,5410,46700956,3360945,1276573,22149,47982786,3383094,
download_size,,10,200,2048,1024,true,4103,1406,5520,46700824,3360921,1276573,22137,47982654,3383058,
download_size,,10,200,2048,1024,true,3912,1371,5292,46700896,3360921,1276573,22149,47982726,3383070,
download_size,,10,200,2048,1024,true,3938,1435,5382,46700896,3360861,1276594,22149,47982747,3383010,
download_size,,10,200,2048,1024,true,3961,1480,5452,46700944,3360933,1275733,22149,47982795,3383082,
download_size,,10,200,2048,1024,true,3890,1474,5371,46700872,3360873,1276573,22149,47982702,3383022,
download_size,,10,200,2048,1024,true,4018,1512,5537,46700896,3360921,1276573,22149,47982726,3383070,
download_size,,10,200,2048,1024,true,3883,1511,5402,46700896,3360861,1276573,22149,47982726,3383010,
download_size,,10,200,2048,2048,true,3912,1450,5372,46700848,3360897,1277597,22149,47984726,3383046,
download_size,,10,200,2048,2048,true,3981,1480,5472,46700896,3360897,1277597,22149,47984774,3383046,
download_size,,10,200,2048,2048,true,3794,1433,5234,46700872,3360909,1277597,22149,47984750,3383058,
download_size,,10,200,2048,2048,true,4128,1491,5627,46700896,3360861,1277597,22149,47984774,3383010,
download_size,,10,200,2048,2048,true,3911,1482,5401,46700908,3360909,1277597,22149,47984786,3383058,
download_size,,10,200,2048,2048,true,3874,1440,5322,46700824,3360885,1277597,22149,47984702,3383034,
download_size,,10,200,2048,2048,true,3790,1406,5208,46700908,3360945,1277597,22149,47984786,3383094,
download_size,,10,200,2048,2048,true,3860,1375,5242,46700920,3360933,1277597,22149,47984798,3383082,
download_size,,10,200,2048,2048,true,3978,1367,5360,46700896,3360873,1277597,22149,47984774,3383022,
download_size,,10,200,2048,2048,true,3858,1415,5281,46700896,3360909,1277618,22149,47984795,3383058,
download_size,,10,200,2048,4096,true,3983,1435,5428,46700896,3360873,1279645,22149,47988870,3383022,
download_size,,10,200,2048,4096,true,3965,1368,5340,46700920,3360849,1279645,22149,47988894,3382998,
download_size,,10,200,2048,4096,true,3941,1518,5469,46700872,3360909,1279645,22149,47988846,3383058,
download_size,,10,200,2048,4096,true,4006,1429,5447,46700848,3360897,1279666,22149,47988843,3383046,
download_size,,10,200,2048,4096,true,4074,1450,5538,46700812,3360909,1279645,22137,47988786,3383046,
download_size,,10,200,2048,4096,true,3909,1568,5485,46700836,3360921,1279645,22149,47988810,3383070,
download_size,,10,200,2048,4096,true,3884,1359,5254,46700896,3360909,1279666,22149,47988891,3383058,
download_size,,10,200,2048,4096,true,3846,1419,5276,46700896,3360897,1279645,22149,47988870,3383046,
download_size,,10,200,2048,4096,true,3885,1366,5259,46700920,3360873,1279645,22149,47988894,3383022,
download_size,,10,200,2048,4096,true,3944,1452,5403,46700872,3360909,1278784,22149,47988846,3383058,
download_size,,10,200,2048,8192,true,3816,1532,5356,46700896,3360873,1283741,22149,47997062,3383022,
download_size,,10,200,2048,8192,true,3867,1446,5322,46700848,3360885,1283741,22149,47997014,3383034,
download_size,,10,200,2048,8192,true,3865,1434,5307,46700896,3360897,1281158,22149,47997062,3383046,
download_size,,10,200,2048,8192,true,3842,1410,5261,46700824,3360861,1283762,22149,47997011,3383010,
download_size,,10,200,2048,8192,true,4003,1571,5588,46700872,3360897,1283741,22149,47997038,3383046,
download_size,,10,200,2048,8192,true,4110,1456,5577,46700848,3360909,1283741,22149,47997014,3383058,
download_size,,10,200,2048,8192,true,3845,1436,5291,46700896,3360909,1283741,22149,47997062,3383058,
download_size,,10,200,2048,8192,true,3854,1519,5380,46700872,3360909,1283741,22149,47997038,3383058,
download_size,,10,200,2048,8192,true,3887,1439,5334,46700896,3360885,1283741,22149,47997062,3383034,
download_size,,10,200,2048,8192,true,3940,1417,5366,46700896,3360861,1283741,22149,47997062,3383010,
download_size,,10,200,2048,16384,true,3931,1486,5425,46700920,3360909,1293147,22153,48014730,3383062,
download_size,,10,200,2048,16384,true,3851,1493,5351,46700896,3360897,1293147,22153,48014706,3383050,
download_size,,10,200,2048,16384,true,3894,1522,5427,46700920,3360945,1293147,22153,48014730,3383098,
download_size,,10,200,2048,16384,true,3843,1419,5269,46700896,3360885,1293147,22153,48014706,3383038,
download_size,,10,200,2048,16384,true,3900,1485,5395,46700896,3360897,1293147,22153,48014706,3383050,
download_size,,10,200,2048,16384,true,4100,1503,5613,46700812,3360861,1293147,22153,48014622,3383014,
download_size,,10,200,2048,16384,true,3938,1416,5366,46700896,3360921,1293147,22153,48014706,3383074,
download_size,,10,200,2048,16384,true,3994,1436,5437,46700848,3360921,1293147,22153,48014658,3383074,
download_size,,10,200,2048,16384,true,3882,1434,5325,46700920,3360861,1293147,22153,48014730,3383014,
download_size,,10,200,2048,16384,true,3830,1377,5214,46700824,3360861,1293147,22153,48014634,3383014,
download_size,,10,200,2048,32768,true,4302,1477,5788,46700896,3360897,1310547,22153,48048534,3383050,
download_size,,10,200,2048,32768,true,3955,1553,5518,46700896,3360933,1310547,22153,48048534,3383086,
download_size,,10,200,2048,32768,true,3886,1441,5337,46700896,3360873,1310547,22153,48048534,3383026,
download_size,,10,200,2048,32768,true,3836,1375,5218,46700872,3360861,1310547,22153,48048510,3383014,
download_size,,10,200,2048,32768,true,3992,1470,5471,46700872,3360885,1310547,22153,48048510,3383038,
download_size,,10,200,2048,32768,true,3940,1355,5302,46700896,3360861,1310547,22153,48048534,3383014,
download_size,,10,200,2048,32768,true,3852,1419,5279,46700896,3360897,1310547,22153,48048534,3383050,
download_size,,10,200,2048,32768,true,3854,1425,5288,46700896,3360861,1308825,22153,48048534,3383014,
download_size,,10,200,2048,32768,true,3854,1407,5272,46700848,3360909,1310547,22153,48048486,3383062,
download_size,,10,200,2048,32768,true,3924,1534,5465,46700848,3360909,1310547,22153,48048486,3383062,
download_size,,10,200,2048,65536,true,3868,1507,5386,46700896,3360933,1345347,22153,48116190,3383086,
download_size,,10,200,2048,65536,true,3891,1497,5397,46700920,3360921,1345347,22153,48116214,3383074,
download_size,,10,200,2048,65536,true,3800,1419,5226,46700908,3360945,1345347,22153,48116202,3383098,
download_size,,10,200,2048,65536,true,3903,1479,5390,46700896,3360873,1344486,22153,48116190,3383026,
download_size,,10,200,2048,65536,true,3837,1627,5472,46700896,3360873,1345347,22153,48116190,3383026,
download_size,,10,200,2048,65536,true,3864,1440,5314,46700896,3360885,1343625,22153,48116190,3383038,
download_size,,10,200,2048,65536,true,4138,1449,5595,46700884,3360909,1345347,22153,48116178,3383062,
download_size,,10,200,2048,65536,true,3881,1499,5388,46700860,3360909,1345347,22153,48116154,3383062,
download_size,,10,200,2048,65536,true,3860,1496,5367,46700896,3360885,1345347,22153,48116190,3383038,
download_size,,10,200,2048,65536,true,3870,1569,5446,46700896,3360861,1344486,22153,48116190,3383014,
download_size,,10,200,2048,131072,true,3989,1580,5583,46700872,3360861,1414364,22165,48251758,3383026,
download_size,,10,200,2048,131072,true,3965,1573,5547,46700920,3360921,1415225,22165,48251806,3383086,
download_size,,10,200,2048,131072,true,3993,1437,5440,46700896,3360909,1414364,22165,48251782,3383074,
download_size,,10,200,2048,131072,true,3923,1409,5344,46700860,3360897,1412642,22165,48251746,3383062,
download_size,,10,200,2048,131072,true,3905,1473,5388,46700920,3360849,1415225,22165,48251806,3383014,
download_size,,10,200,2048,131072,true,3843,1610,5462,46700896,3360885,1415225,22165,48251782,3383050,
download_size,,10,200,2048,131072,true,4200,1647,5862,46700872,3360897,1415225,22165,48251758,3383062,
download_size,,10,200,2048,131072,true,3890,1582,5483,46700896,3360897,1415225,22165,48251782,3383062,
download_size,,10,200,2048,131072,true,3851,1512,5373,46700920,3360957,1415246,22165,48251827,3383122,
download_size,,10,200,2048,131072,true,3875,1521,5407,46700848,3360897,1415246,22165,48251755,3383062,
latency,,10,1000,1024,4096,true,1903,1262,3173,33561340,3296621,729529,21113,34298174,3317734,
latency,,10,1000,1024,4096,true,1994,1302,3304,33561340,3296633,729529,21113,34298174,3317746,
latency,,10,1000,1024,4096,true,1890,1333,3237,33561340,3296633,729529,21113,34298174,3317746,
latency,,10,1000,1024,4096,true,2047,1269,3324,33561340,3296621,729529,21101,34298174,3317722,
latency,,10,1000,1024,4096,true,2056,1322,3386,33561340,3296633,727807,21113,34298174,3317746,
latency,,10,1000,1024,4096,true,1874,1289,3170,33561340,3296621,729529,21101,34298174,3317722,
latency,,10,1000,1024,4096,true,1939,1296,3243,33561340,3296621,729529,21113,34298174,3317734,
latency,,10,1000,1024,4096,true,1875,1258,3145,33561340,3296633,729529,21113,34298174,3317746,
latency,,10,1000,1024,4096,true,1891,1254,3153,33561340,3296621,728668,21113,34298174,3317734,
latency,,10,1000,1024,4096,true,1927,1344,3279,33561340,3296633,728668,21113,34298174,3317746,
latency,,25,1000,1024,4096,true,2112,1752,3880,33561340,3296633,729517,21113,34298162,3317746,
latency,,25,1000,1024,4096,true,2516,1638,4169,33561340,3296645,729517,21113,34298162,3317758,
