group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
bandwidth,,25,1000,1024,4096,true,2002,1587,1600,5190,33561340,3296633,728656,21113,34589615,3990318,,1587,3151
bandwidth,,25,1000,1024,4096,true,2025,1635,1708,5368,33561340,3296621,729517,21113,34589603,3990306,,1691,3302
bandwidth,,25,1000,1024,4096,true,2053,1552,1651,5258,33561340,3296657,729517,21113,34589603,3990342,,1640,3168
bandwidth,,25,1000,1024,4096,true,2052,1583,1819,5455,33561340,3296621,726934,21101,34589603,3990294,,1808,3367
bandwidth,,25,1000,1024,4096,true,2251,1607,1697,5557,33561340,3296633,729517,21113,34589615,3990318,,1684,3274
bandwidth,,25,1000,1024,4096,true,2078,1633,1645,5358,33561340,3296633,729517,21113,34589615,3990318,,1632,3242
bandwidth,,25,1000,1024,4096,true,2003,1634,1678,5316,33561340,3296633,728656,21113,34589615,3990318,,1662,3272
bandwidth,,25,1000,1024,4096,true,2007,1645,1594,5247,33561340,3296621,729529,21113,34589627,3990306,,1576,3202
bandwidth,,25,1000,1024,4096,true,2064,1664,1643,5371,33561340,3296657,729517,21113,34589615,3990342,,1625,3268
download_size,,10,200,2048,1024,true,3836,1403,973,6214,46700836,3360873,1275712,22149,48161507,3991546,,968,2343
download_size,,10,200,2048,1024,true,3959,1484,927,6370,46700896,3360897,1276573,22149,48161567,3991570,,919,2418
download_size,,10,200,2048,1024,true,3804,1401,924,6131,46700872,3360861,1276573,22149,48161543,3991534,,919,2294
download_size,,10,200,2048,1024,true,3764,1383,913,6062,46700824,3360897,1276573,22149,48161495,3991570,,906,2304
download_size,,10,200,2048,1024,true,3778,1519,889,6187,46700896,3360897,1274851,22149,48161579,3991570,,880,2371
download_size,,10,200,2048,1024,true,3802,1470,945,6218,46700920,3360849,1275712,22149,48161591,3991522,,937,2382
download_size,,10,200,2048,1024,true,3812,1389,908,6109,46700920,3360945,1276573,22149,48161591,3991618,,900,2302
download_size,,10,200,2048,1024,true,3787,1445,874,6107,46700896,3360873,1276573,22149,48161579,3991546,,866,2279
download_size,,10,200,2048,1024,true,3905,1472,927,6305,46700872,3360909,1276573,22149,48161543,3991582,,923,2363
download_size,,10,200,2048,1024,true,3890,1475,859,6225,46700896,3360885,1276573,22149,48161579,3991558,,853,2298
download_size,,10,200,2048,2048,true,3809,1436,940,6185,46700824,3360873,1277597,22149,48219731,3991546,,935,2343
download_size,,10,200,2048,2048,true,3799,1427,993,6220,46700896,3360873,1277597,22149,48219791,3991546,,984,2426
download_size,,10,200,2048,2048,true,3793,1574,964,6332,46700896,3360897,1277597,22149,48219803,3991570,,956,2545
download_size,,10,200,2048,2048,true,3846,1455,1210,6512,46700920,3360849,1277597,22149,48219827,3991522,,1196,2677
download_size,,10,200,2048,2048,true,4227,1470,991,6689,46700848,3360933,1276736,22137,48219743,3991594,,985,2469
download_size,,10,200,2048,2048,true,4004,1461,982,6449,46700896,3360897,1277597,22149,48219791,3991570,,977,2453
download_size,,10,200,2048,2048,true,3792,1449,1037,6280,46700896,3360873,1277597,22149,48219791,3991546,,1028,2452
download_size,,10,200,2048,2048,true,3840,1337,1046,6224,46700896,3360909,1277597,22149,48219791,3991582,,1045,2397
download_size,,10,200,2048,2048,true,3845,1406,950,6201,46700872,3360873,1277597,22149,48219779,3991546,,943,2364
download_size,,10,200,2048,2048,true,3962,1575,1128,6665,46700824,3360897,1277597,22149,48219719,3991570,,1119,2711
download_size,,10,200,2048,4096,true,3775,1341,1819,6936,46700920,3360933,1279666,22149,48336532,4055654,,1816,3131
download_size,,10,200,2048,4096,true,3849,1375,1666,6891,46700944,3360933,1279645,22149,48336547,4055654,,1657,3010
download_size,,10,200,2048,4096,true,3772,1526,1718,7017,46700872,3360897,1279645,22149,48336463,4055618,,1711,3256
download_size,,10,200,2048,4096,true,3764,1299,1722,6785,46700872,3360897,1279645,22149,48336475,4055618,,1712,2986
download_size,,10,200,2048,4096,true,3808,1460,1758,7028,46700920,3360873,1279645,22149,48336523,4055594,,1751,3230
download_size,,10,200,2048,4096,true,3885,1393,1819,7097,46700896,3360897,1279645,22149,48336487,4055618,,1808,3180
download_size,,10,200,2048,4096,true,3843,1398,1723,6965,46700848,3360885,1278805,22137,48336472,4055594,,1715,3088
download_size,,10,200,2048,4096,true,3843,1356,1691,6891,46700824,3360873,1279645,22149,48336427,4055594,,1682,3013
download_size,,10,200,2048,4096,true,3842,1437,1672,6951,46700896,3360909,1278784,22149,48336499,4055630,,1665,3081
download_size,,10,200,2048,4096,true,3774,1351,1823,6948,46700920,3360849,1279645,22149,48336511,4055570,,1808,3142
download_size,,10,200,2048,8192,true,3789,1415,3934,9139,46700920,3360957,1283741,22149,48569671,4119714,,3923,5339
download_size,,10,200,2048,8192,true,4153,1430,3624,9207,46700836,3360921,1283741,22137,48569587,4119666,,3610,5076
download_size,,10,200,2048,8192,true,3807,1495,3249,8551,46700896,3360909,1283741,22149,48569647,4119666,,3237,4762
download_size,,10,200,2048,8192,true,3904,1418,3417,8740,46700896,3360873,1283762,22149,48569656,4119630,,3405,4852
download_size,,10,200,2048,8192,true,3908,1390,3809,9109,46700908,3360945,1283741,22149,48569659,4119702,,3794,5218
download_size,,10,200,2048,8192,true,3855,1414,3345,8615,46700896,3360921,1283741,22149,48569647,4119678,,3331,4779
download_size,,10,200,2048,8192,true,3863,1622,3281,8767,46700896,3360885,1283741,22149,48569647,4119642,,3270,4922
download_size,,10,200,2048,8192,true,3942,1496,3526,8965,46700824,3360861,1283741,22149,48569575,4119618,,3517,5002
download_size,,10,200,2048,8192,true,3972,1430,3474,8877,46700848,3360897,1283741,22149,48569599,4119654,,3461,4879
download_size,,10,200,2048,8192,true,3841,1385,3365,8591,46700896,3360909,1283741,22149,48569647,4119666,,3350,4766
download_size,,10,200,2048,16384,true,3748,1391,6721,11861,46700872,3360897,1293147,22153,49036963,4183814,,6698,8102
download_size,,10,200,2048,16384,true,3976,1554,6407,11938,46700908,3360921,1293147,22153,49036999,4183838,,6380,7990
download_size,,10,200,2048,16384,true,3803,1405,7123,12333,46700872,3360897,1293147,22153,49036963,4183814,,7100,8565
download_size,,10,200,2048,16384,true,3938,1506,6402,11847,46700848,3360933,1293147,22141,49036939,4183838,,6380,7938
download_size,,10,200,2048,16384,true,3883,1418,6557,11859,46700872,3360873,1293147,22153,49036963,4183790,,6533,8006
download_size,,10,200,2048,16384,true,3821,1423,6723,11968,46700920,3360837,1292286,22153,49037011,4183754,,6697,8177
download_size,,10,200,2048,16384,true,3878,1514,6354,11747,46700824,3360873,1293147,22153,49036915,4183790,,6336,7899
download_size,,10,200,2048,16384,true,3881,1462,6492,11836,46700896,3360921,1293147,22153,49036987,4183838,,6471,7982
