group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
bandwidth,,25,1000,1024,4096,true,972,1171,627,2771,33561340,3296633,729517,21113,34589603,3990318,,614,1816
bandwidth,,25,1000,1024,4096,true,966,1161,502,2630,33561340,3296633,729517,21101,34589603,3990306,,490,1673
bandwidth,,25,1000,1024,4096,true,949,1180,501,2631,33561352,3296645,729517,21113,34589615,3990330,,485,1688
bandwidth,,25,1000,1024,4096,true,958,1199,517,2675,33561328,3296633,729517,21113,34589591,3990318,,516,1743
bandwidth,,25,1000,1024,4096,true,947,1158,493,2599,33561340,3296633,729517,21101,34589603,3990306,,488,1668
bandwidth,,25,1000,1024,4096,true,963,1169,493,2626,33561340,3296645,729517,21113,34589603,3990330,,485,1673
bandwidth,,25,1000,1024,4096,true,1006,1202,506,2715,33561352,3296657,729517,21113,34589615,3990342,,500,1727
download_size,,10,200,2048,1024,true,2311,835,201,3348,46700956,3361341,1276585,22149,48161639,3992014,,201,1047
download_size,,10,200,2048,1024,true,2338,808,214,3362,46700884,3361497,1276585,22149,48161567,3992170,,211,1036
download_size,,10,200,2048,1024,true,2332,829,216,3378,46701616,3362613,1276585,22149,48162299,3993286,,218,1061
download_size,,10,200,2048,1024,true,2407,865,209,3483,46700956,3361341,1276585,22149,48161639,3992014,,212,1092
download_size,,10,200,2048,1024,true,2353,817,216,3386,46701304,3361845,1276573,22149,48161975,3992518,,218,1047
download_size,,10,200,2048,1024,true,2388,837,237,3464,46701520,3362121,1276573,22149,48162191,3992794,,231,1090
download_size,,10,200,2048,1024,true,2370,839,212,3423,46700908,3361353,1274002,22149,48161591,3992026,,209,1067
download_size,,10,200,2048,1024,true,2308,828,224,3361,46700980,3361329,1276573,22149,48161651,3992002,,227,1067
download_size,,10,200,2048,1024,true,2393,877,201,3472,46700980,3361329,1276585,22149,48161663,3992002,,202,1093
download_size,,10,200,2048,1024,true,2353,824,219,3397,46700980,3361341,1276573,22149,48161651,3992014,,216,1053
download_size,,10,200,2048,2048,true,2378,818,261,3459,46701748,3362841,1277609,22149,48220655,3993514,,264,1100
download_size,,10,200,2048,2048,true,2399,807,288,3495,46701532,3362121,1277609,22137,48220439,3992782,,284,1114
download_size,,10,200,2048,2048,true,2408,830,237,3477,46700908,3361353,1277609,22149,48219815,3992026,,233,1079
download_size,,10,200,2048,2048,true,2366,794,261,3422,46700920,3361353,1277597,22149,48219815,3992026,,261,1073
download_size,,10,200,2048,2048,true,2391,840,292,3523,46700932,3361341,1275014,22149,48219827,3992014,,295,1160
download_size,,10,200,2048,2048,true,2354,809,254,3418,46700932,3361341,1277609,22149,48219839,3992014,,255,1078
download_size,,10,200,2048,2048,true,2346,813,253,3413,46700920,3361485,1276748,22149,48219827,3992158,,249,1077
download_size,,10,200,2048,2048,true,2352,834,285,3472,46700968,3361329,1275026,22149,48219875,3992002,,280,1131
download_size,,10,200,2048,2048,true,2398,854,254,3508,46701580,3362397,1277597,22137,48220475,3993058,,246,1123
download_size,,10,200,2048,2048,true,2334,818,241,3394,46700884,3361353,1277609,22149,48219791,3992026,,249,1080
download_size,,10,200,2048,4096,true,2349,833,414,3596,46700884,3361497,1279645,22149,48336475,4056218,,413,1261
download_size,,10,200,2048,4096,true,2320,810,380,3510,46700980,3361329,1279657,22149,48336583,4056050,,378,1204
download_size,,10,200,2048,4096,true,2329,823,399,3553,46701508,3362109,1279657,22137,48337111,4056818,,396,1236
download_size,,10,200,2048,4096,true,2376,841,413,3631,46700932,3361341,1279645,22149,48336523,4056062,,410,1269
download_size,,10,200,2048,4096,true,2334,817,415,3568,46700932,3361353,1279645,22149,48336523,4056074,,419,1248
download_size,,10,200,2048,4096,true,2344,828,400,3573,46700896,3361353,1279657,22149,48336499,4056074,,400,1243
download_size,,10,200,2048,4096,true,2321,811,409,3542,46700920,3361353,1279657,22149,48336523,4056074,,406,1237
download_size,,10,200,2048,4096,true,2374,857,476,3708,46701556,3362373,1279657,22161,48337159,4057106,,475,1353
download_size,,10,200,2048,4096,true,2339,830,441,3612,46700968,3361329,1279657,22149,48336571,4056050,,437,1291
download_size,,10,200,2048,4096,true,2350,837,396,3583,46700932,3361353,1279645,22149,48336523,4056074,,389,1247
download_size,,10,200,2048,8192,true,2333,811,825,3971,46700932,3361341,1283753,22149,48569683,4120098,,819,1651
download_size,,10,200,2048,8192,true,2359,825,992,4177,46701616,3362625,1283741,22137,48570355,4121370,,1002,1852
download_size,,10,200,2048,8192,true,2353,814,912,4079,46701736,3362853,1283753,22149,48570487,4121610,,897,1741
download_size,,10,200,2048,8192,true,2372,821,943,4136,46700932,3361353,1283753,22149,48569683,4120110,,937,1784
download_size,,10,200,2048,8192,true,2434,816,913,4164,46700908,3361317,1283753,22149,48569671,4120074,,907,1747
download_size,,10,200,2048,8192,true,2362,810,893,4066,46700980,3361317,1283741,22149,48569719,4120074,,881,1721
download_size,,10,200,2048,8192,true,2357,821,850,4029,46700944,3361329,1283741,22149,48569695,4120086,,842,1689
download_size,,10,200,2048,8192,true,2365,823,894,4082,46701496,3362025,1283753,22149,48570247,4120782,,884,1739
download_size,,10,200,2048,8192,true,2315,799,968,4083,46700944,3361281,1283741,22149,48569683,4120038,,972,1805
download_size,,10,200,2048,8192,true,2374,833,872,4079,46700896,3361305,1283753,22137,48569647,4120050,,866,1732
download_size,,10,200,2048,16384,true,2357,877,1825,5060,46701604,3362553,1293159,22153,49037683,4185446,,1774,2715
download_size,,10,200,2048,16384,true,2382,891,1954,5227,46700992,3361329,1293147,22153,49037059,4184222,,1921,2864
download_size,,10,200,2048,16384,true,2391,874,1833,5098,46700908,3361305,1293147,22141,49036975,4184186,,1804,2729
download_size,,10,200,2048,16384,true,2387,881,1999,5268,46700932,3361341,1293147,22153,49036999,4184234,,1961,2896
download_size,,10,200,2048,16384,true,2359,879,1709,4949,46700884,3361317,1293159,22153,49036963,4184150,,1685,2618
download_size,,10,200,2048,16384,true,2360,907,1913,5181,46701484,3361953,1293159,22165,49037563,4184858,,1891,2845
download_size,,10,200,2048,16384,true,2353,898,1697,4950,46700884,3361293,1292298,22141,49036963,4184174,,1673,2620
download_size,,10,200,2048,16384,true,2374,851,2114,5341,46701748,3362865,1293159,22153,49037827,4185698,,2110,3013
download_size,,10,200,2048,16384,true,2406,884,1878,5168,46701448,3361977,1293159,22165,49037527,4184822,,1863,2793
download_size,,10,200,2048,16384,true,2405,900,1917,5224,46700908,3361341,1293147,22153,49036975,4184234,,1864,2835
download_size,,10,200,2048,32768,true,2468,920,4071,7460,46700920,3361353,1310559,22153,49969907,4248330,,3978,5025
download_size,,10,200,2048,32768,true,2393,885,3784,7063,46700932,3361353,1310547,22153,49969907,4248330,,3707,4692
download_size,,10,200,2048,32768,true,2383,878,4010,7272,46700920,3361329,1310547,22153,49969895,4248306,,3920,4911
download_size,,10,200,2048,32768,true,2406,893,4641,7941,46700896,3361305,1310559,22153,49969883,4248282,,4556,5556
download_size,,10,200,2048,32768,true,2393,923,4467,7784,46700896,3361293,1310547,22141,49969871,4248258,,4361,5411
download_size,,10,200,2048,32768,true,2374,901,4047,7323,46700944,3361341,1310559,22153,49969931,4248318,,3952,4972
download_size,,10,200,2048,32768,true,2375,899,4199,7475,46700920,3361293,1310559,22141,49969907,4248258,,4104,5123
download_size,,10,200,2048,32768,true,2354,884,4391,7630,46700968,3361317,1310559,22153,49969955,4248294,,4306,5300
download_size,,10,200,2048,32768,true,2360,881,4730,7972,46700920,3361293,1308825,22141,49969895,4248234,,4738,5732
download_size,,10,200,2048,32768,true,2361,899,4346,7607,46701508,3362097,1310547,22153,49970483,4249074,,4243,5267
download_size,,10,200,2048,65536,true,2364,953,8090,11408,46700956,3361353,1345347,22153,51838717,5113238,,7854,9071
download_size,,10,200,2048,65536,true,2334,927,8865,12126,46701448,3362037,1345347,22153,51839209,5113922,,8733,9899
download_size,,10,200,2048,65536,true,2387,938,7543,10869,46700944,3361341,1345359,22153,51838717,5113238,,7284,8506
download_size,,10,200,2048,65536,true,2369,943,8354,11667,46700944,3361473,1345359,22153,51838717,5113370,,8123,9326
download_size,,10,200,2048,65536,true,2359,949,9116,12425,46700932,3361329,1345347,22153,51838693,5113226,,8883,10090
download_size,,10,200,2048,65536,true,2348,942,8071,11362,46700872,3361305,1345359,22153,51838645,5113202,,7831,9040
download_size,,10,200,2048,65536,true,2415,949,8047,11412,46700884,3361281,1345359,22141,51838657,5113166,,7769,9023
download_size,,10,200,2048,65536,true,2355,940,8231,11528,46700944,3361353,1345359,22153,51838717,5113226,,8040,9258
download_size,,10,200,2048,65536,true,2347,933,7964,11245,46701520,3362121,1345359,22165,51839293,5114018,,7697,8922
download_size,,10,200,2048,65536,true,2371,957,8132,11462,46701508,3362133,1345359,22153,51839281,5114018,,7891,9118
download_size,,10,200,2048,131072,true,2357,1009,15880,19247,46700920,3361353,1415174,22153,55572992,5978242,,15894,17002
download_size,,10,200,2048,131072,true,2397,969,16547,19914,46700920,3361317,1415162,22165,55572980,5978218,,15897,17668
download_size,,10,200,2048,131072,true,2313,976,15819,19109,46701244,3361761,1415216,22165,55573358,5978662,,15940,17026
download_size,,10,200,2048,131072,true,2330,952,15803,19085,46701664,3362757,1415162,22165,55573724,5979646,,15730,16811
download_size,,10,200,2048,131072,true,2356,965,17062,20385,46701568,3362421,1415162,22153,55573628,5979310,,16207,18067
download_size,,10,200,2048,131072,true,2364,956,15756,19077,46700920,3361341,1415162,22165,55572980,5978242,,15083,16940
download_size,,10,200,2048,131072,true,2320,963,16914,20198,46700896,3361341,1415162,22165,55572956,5978278,,16054,17913
download_size,,10,200,2048,131072,true,2380,969,14752,18102,46701172,3361665,1415174,22165,55573244,5978566,,13947,15764
download_size,,10,200,2048,131072,true,2367,1061,15516,18944,46700992,3361341,1415237,22165,55573127,5978242,,15429,16612
download_size,,10,200,2048,131072,true,2375,1007,14491,17873,46700884,3361329,1415162,22165,55572944,5978230,,14400,15538
latency,,10,1000,1024,4096,true,618,772,422,1813,33561424,3296981,729517,21101,34589687,3990654,,428,1224
latency,,10,1000,1024,4096,true,627,799,610,2037,33561352,3296657,729517,21101,34589615,3990330,,608,1438
latency,,10,1000,1024,4096,true,650,779,488,1917,33561352,3296645,729517,21101,34589615,3990318,,489,1296
latency,,10,1000,1024,4096,true,635,766,453,1856,33561376,3296645,729517,21101,34589639,3990318,,461,1251
latency,,10,1000,1024,4096,true,643,754,447,1845,33561364,3296633,729517,21113,34589627,3990318,,437,1217
latency,,10,1000,1024,4096,true,640,774,435,1850,33561364,3296657,729517,21101,34589627,3990330,,434,1232
latency,,10,1000,1024,4096,true,667,752,427,1847,33561352,3296645,729517,21101,34589615,3990318,,433,1213
