group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,reveal_recv_percent_actual,heap_max_bytes
bandwidth_sweep,,25,100,1024,2048,true,3053,1130,4576,29872436,3298075,716078,21215,30773950,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,3003,1136,4553,29872590,3298383,716078,21215,30774104,3992292,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,2979,1129,4528,29872450,3298075,716092,21215,30773964,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,2961,1128,4491,29872450,3298075,716078,21215,30773964,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,2973,1129,4516,29872450,3298075,716381,21215,30773978,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,3009,1139,4558,29872436,3298089,716078,21215,30773950,3991998,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,3031,1093,4519,29872492,3298215,716078,21215,30774006,3992124,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,3039,1134,4618,29872436,3298075,716078,21215,30773950,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,2994,1134,4545,29872450,3298075,716078,21215,30773964,3991984,99.95423340961098,
bandwidth_sweep,,25,100,1024,2048,true,2991,1136,4550,29872450,3298075,716078,21215,30773978,3991984,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1573,1133,3106,29872044,3297655,716078,21201,30773558,3991536,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1554,1118,3072,29872030,3297571,716078,21215,30773544,3991466,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1590,1129,3132,29872282,3297809,716078,21201,30773796,3991704,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1567,1107,3088,29872030,3297571,716078,21215,30773544,3991466,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1668,1121,3190,29872268,3297809,716381,21201,30773782,3991690,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1588,1144,3123,29872030,3297557,716128,21229,30773544,3991466,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1674,1092,3175,29872058,3297697,716078,21215,30773572,3991606,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1577,1141,3175,29872016,3297571,716078,21215,30773530,3991466,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1641,1145,3213,29872016,3297585,716078,21215,30773530,3991480,99.95423340961098,
bandwidth_sweep,,25,250,1024,2048,true,1559,1130,3131,29872044,3297571,716078,21215,30773558,3991480,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1168,1123,2724,29872030,3297515,716381,21201,30773544,3991396,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1194,1141,2772,29872058,3297529,716128,21201,30773572,3991410,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1169,1155,2754,29872002,3297529,716078,21201,30773516,3991410,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1164,1168,2804,29872030,3297487,716078,21215,30773544,3991382,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1159,1135,2719,29872058,3297543,716092,21201,30773572,3991424,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1190,1132,2776,29872030,3297529,716381,21215,30773544,3991424,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1181,1132,2735,29872030,3297529,716078,21215,30773544,3991424,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1189,1129,2736,29872016,3297501,716078,21215,30773530,3991410,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1161,1128,2765,29872044,3297529,716128,21215,30773558,3991438,99.95423340961098,
bandwidth_sweep,,25,500,1024,2048,true,1166,1134,2741,29872030,3297487,716381,21201,30773544,3991382,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,994,1121,2536,29872016,3297375,716078,21201,30773530,3991256,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,964,1113,2548,29872002,3297333,716381,21229,30773516,3991256,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,944,1142,2514,29872016,3297389,716078,21201,30773530,3991270,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,970,1136,2590,29872016,3297375,716078,21215,30773530,3991270,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,1063,1140,2642,29872072,3297445,716078,21215,30773586,3991340,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,983,1134,2531,29872016,3297389,716128,21201,30773530,3991284,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,999,1127,2558,29872016,3297403,716078,21215,30773530,3991312,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,1023,1137,2570,29872030,3297417,716092,21201,30773544,3991298,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,958,1115,2471,29872016,3297347,716078,21215,30773530,3991242,99.95423340961098,
bandwidth_sweep,,25,1000,1024,2048,true,941,1123,2465,29872002,3297361,716078,21215,30773516,3991256,99.95423340961098,
