group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,reveal_recv_percent_actual,heap_max_bytes
download_sweep,,25,100,1024,20480,true,4035,1827,11977,29872156,3297627,735593,21205,31806424,4664310,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4227,1611,13819,29872184,3297697,735593,21233,31806452,4664408,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4441,1680,14184,29872198,3297683,735593,21233,31806466,4664394,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4233,1648,13922,29872198,3297655,734890,21205,31806466,4664324,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4336,1634,13954,29872058,3297193,735593,21219,31806326,4663890,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4209,1465,12382,29872156,3297557,735593,21205,31806424,4664240,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4033,1696,12546,29872156,3297571,735593,21205,31806424,4664254,99.99514986904646,
download_sweep,,25,100,1024,20480,true,4105,1615,13267,29872212,3297655,735593,21233,31806480,4664366,99.99514986904646,
download_sweep,,25,100,1024,30720,true,4290,1566,18639,29872002,3297263,745879,21205,32381130,4920142,99.99675934927734,
download_sweep,,25,100,1024,30720,true,4098,1655,17680,29872184,3297599,745879,21233,32381312,4920506,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3998,1510,16776,29872156,3297613,745879,21205,32381284,4920492,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3941,1448,15820,29872156,3297627,745879,21205,32381284,4920506,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3964,1564,16208,29872128,3297543,745879,21219,32381256,4920450,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3912,1496,15725,29872212,3297725,745879,21219,32381340,4920618,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3931,1541,15984,29872184,3297641,745879,21205,32381312,4920534,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3976,1464,16164,29872212,3297753,745879,21205,32381340,4920646,99.99675934927734,
