group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
latency_sweep,,100,100,1024,2048,true,4653,2809,8197,29872100,3297557,716128,21215,30773614,3991466,
latency_sweep,,150,100,1024,2048,true,5870,4105,10977,29872016,3297501,716078,21215,30773558,3991438,
latency_sweep,,150,100,1024,2048,true,5846,3966,10788,29872058,3297529,716078,21201,30773600,3991452,
latency_sweep,,150,100,1024,2048,true,5854,4111,10951,29872030,3297529,716092,21201,30773600,3991452,
latency_sweep,,150,100,1024,2048,true,5945,4097,11036,29872030,3297487,716078,21215,30773572,3991424,
latency_sweep,,150,100,1024,2048,true,5922,3983,10898,29872016,3297529,716078,21201,30773558,3991452,
latency_sweep,,150,100,1024,2048,true,5863,4156,11010,29872016,3297487,716078,21215,30773558,3991424,
latency_sweep,,150,100,1024,2048,true,5899,4126,10990,29872016,3297529,716078,21201,30773558,3991452,
latency_sweep,,150,100,1024,2048,true,5845,3974,10818,29872016,3297529,716078,21201,30773558,3991452,
latency_sweep,,150,100,1024,2048,true,6043,3968,11022,29872016,3297529,716078,21215,30773572,3991466,
latency_sweep,,150,100,1024,2048,true,6014,4100,11095,29872016,3297543,716078,21201,30773558,3991466,
latency_sweep,,200,100,1024,2048,true,7064,5108,13433,29872016,3297445,716106,21243,30773558,3991382,
latency_sweep,,200,100,1024,2048,true,7388,5305,13949,29872016,3297445,716106,21229,30773558,3991368,
latency_sweep,,200,100,1024,2048,true,7145,5307,13732,29872044,3297431,716106,21229,30773586,3991354,
latency_sweep,,200,100,1024,2048,true,7459,5316,14031,29872044,3297459,716106,21229,30773586,3991382,
latency_sweep,,200,100,1024,2048,true,7067,5118,13456,29872016,3297431,716106,21243,30773558,3991368,
latency_sweep,,200,100,1024,2048,true,7188,5297,13755,29872044,3297431,716106,21229,30773586,3991354,
latency_sweep,,200,100,1024,2048,true,7248,5118,13647,29872030,3297487,716092,21243,30773572,3991424,
latency_sweep,,200,100,1024,2048,true,7159,5304,13698,29872002,3297459,716106,21243,30773544,3991396,
latency_sweep,,200,100,1024,2048,true,7324,5303,13867,29872016,3297487,716106,21243,30773572,3991424,
latency_sweep,,200,100,1024,2048,true,7046,5311,13657,29872044,3297473,716106,21243,30773586,3991410,
